Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Bcolour,Burl,Bcredit
,,,,,,,,,Rail200 on the Southern,"<p>Key Events on the Southern Railway, its predecessors and successors</p>",https://upload.wikimedia.org/wikipedia/commons/5/58/Map_of_Southern_Railway_1926.jpg,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",Southern Railway Map 1926,,title,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
1803,,,,1803,,,,,"Surrey Iron Railway Opens,","<p>The world's first public railway, a horse-drawn plateway, opened between Wandsworth and Croydon.</p><p>Designed for freight transport, it connected industries to the River Thames.</p><p>Used flanged iron rails on stone sleepers, setting a precedent for later railways.</p><p>Although short-lived, it influenced early railway development.</p>",https://upload.wikimedia.org/wikipedia/commons/f/f2/Surrey_Iron_Railway01.JPG,"<a href=""https://commons.wikimedia.org/wiki/File:Surrey_Iron_Railway01.JPG"">Motmit</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>, via Wikimedia Commons",Plaque and original stone sleepers of the Surrey Iron Railway set in the wall of Youngs Brewery in Wandsworth,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
1830,,,,1830,,,,,Canterbury & Whitstable Railway Opens,"<p>One of the earliest passenger railways in England, running between Canterbury and Whitstable.</p><p>Featured the locomotive ""Invicta,"" built by Robert Stephenson.</p><p>Included a tunnel with a stationary steam engine for assisted inclines.</p><p>Later absorbed into the South Eastern Railway in 1844.</p>",https://upload.wikimedia.org/wikipedia/commons/a/a2/BASA-3K-7-518-15.jpg,"<a href=""https://commons.wikimedia.org/wiki/File:BASA-3K-7-518-15.jpg"">Archives State Agency</a>, Public domain, via Wikimedia Commons",Invicta Locomotive,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
1838,,,,1838,,,,,London and Southampton Railway Opens (Later LSWR),"<p>Connected London to the key port city of Southampton, boosting trade and travel.</p><p>Originally built as a single-track line but later expanded.</p><p>Played a crucial role in developing the London & South Western Railway (LSWR).</p><p>Enabled rapid movement of goods and passengers between the capital and the south coast.</p>",https://upload.wikimedia.org/wikipedia/commons/4/46/Neilson_and_Company_Glasgow%2C_E574%2C_London_%26_South_Western_Railway_%28LSWR%29_4-4-0_460_class_No._467.jpg,"<a href=""https://commons.wikimedia.org/wiki/File:Neilson_and_Company_Glasgow,_E574,_London_%26_South_Western_Railway_(LSWR)_4-4-0_460_class_No._467.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",London & South Western Railway (LSWR) 4-4-0 460 class No. 467,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
1845,,,,1845,,,,,"London, Brighton & South Coast Railway (LBSCR) Formed",<p>Created through the merger of smaller railway companies.</p><p>Established direct services from London to Brighton and the Sussex coast.</p><p>Known for the famous Brighton Belle luxury train service.</p><p>Key driver of commuter railway expansion in the South East.</p>,https://upload.wikimedia.org/wikipedia/commons/c/c5/LBSCR_map_Victoria.jpg,"<a href=""https://commons.wikimedia.org/wiki/File:LBSCR_map_Victoria.jpg"">Oxyman</a>, <a href=""http://creativecommons.org/licenses/by-sa/3.0/"">CC BY-SA 3.0</a>, via Wikimedia Commons",,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
1899,,,,1899,,,,,Formation of the South Eastern and Chatham Railway (SECR),<p>Formed by merging two competing railway companies to improve efficiency.</p><p>Operated key routes from London to Kent and the Channel ports.</p><p>Introduced electrification schemes and improved suburban services.</p><p>Later became part of the Southern Railway in 1923.</p>,https://upload.wikimedia.org/wikipedia/en/4/46/SE%26CRail.jpg,Wikimedia,,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
1923,,,,1923,,,,,Southern Railway Formed,"<p>Combined LSWR, LBSCR, and SECR into one large regional operator.</p><p>Pioneered railway electrification, especially on commuter routes.</p><p>Managed key routes to the south coast, including Dover and Portsmouth.</p><p>Remained a dominant player until nationalization in 1948.</p>",https://upload.wikimedia.org/wikipedia/commons/6/62/Sir_Herbert_Ashcombe_Walker.jpg,"<a href=""https://commons.wikimedia.org/wiki/File:Sir_Herbert_Ashcombe_Walker.jpg"">Elliot and Fry</a>, Public domain, via Wikimedia Commons",Sir Herbert Walker,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
1938,,,,1938,,,,,Introduction of the 4COR Electric Units,<p>Designed to modernize Southern Railway's commuter services.</p><p>Offered faster and more efficient travel on electrified routes.</p><p>Widely used on services from London to the South Coast.</p><p>Marked a shift toward electric traction in British railways.</p>,https://upload.wikimedia.org/wikipedia/commons/b/bf/Weybridge_station_geograph-2386531-by-Ben-Brooksbank.jpg,"<a href=""https://commons.wikimedia.org/wiki/File:Weybridge_station_geograph-2386531-by-Ben-Brooksbank.jpg"">Ben Brooksbank</a>, <a href=""https://creativecommons.org/licenses/by-sa/2.0"">CC BY-SA 2.0</a>, via Wikimedia Commons",Waterloo - Portsmouth express 4-COR set passing Weybridge,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
1994,,,,1994,,,,,Opening of the Channel Tunnel,"<p>Connected the UK to mainland Europe via a 31-mile rail tunnel.</p><p>Eurostar services provided high-speed travel between London, Paris, and Brussels.</p><p>Facilitated international freight movement and economic integration.</p><p>One of the largest engineering projects of the 20th century.</p>",https://upload.wikimedia.org/wikipedia/commons/1/11/A_d%C3%A9li_pajzs_a_keresztez%C5%91kamr%C3%A1ban.jpg,"<a href=""https://commons.wikimedia.org/wiki/File:A_d%C3%A9li_pajzs_a_keresztez%C5%91kamr%C3%A1ban.jpg"">The original uploader was Tambo at Hungarian Wikipedia.</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>, via Wikimedia Commons",Channel Tunnel Boring Machine,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
2007,,,,2007,,,,,High-Speed 1 (HS1) Opens,"<p>Created the first UK high-speed rail corridor.</p><p>Reduced travel times between London and the Channel Tunnel.</p><p>Serves Eurostar, Southeastern high-speed trains, and international services.</p><p>Transformed rail travel between the UK and Europe.</p>",https://upload.wikimedia.org/wikipedia/commons/a/a9/Eurostar_on_Channel_Tunnel_Rail_Link.jpg,Dave Bushell&nbsp;/&nbsp;<i>Eurostar train near Ashford</i>,Eurostar train near Ashford,,,,#417744,"<a href=""https://commons.wikimedia.org/wiki/File:Map_of_Southern_Railway_1926.jpg"">See page for author</a>, Public domain, via Wikimedia Commons",
